user,case,time
SF***-8TVE,Prisma Case,1698388366
S9***-8KQJ,Paris 2023 Legends Autograph Capsule,1698388366
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388365
SF***-EPHA,Antwerp 2022 Challengers Sticker Capsule,1698388364
S9***-XGGJ,Snakebite Case,1698388364
AP***-QUTE,10 Year Birthday Sticker Capsule,1698388363
SQ***-WVZL,2020 RMR Legends,1698388363
SY***-HWTQ,Paris 2023 Contenders Sticker Capsule,1698388363
SX***-CCAE,Anubis Collection Package,1698388363
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388362
SJ***-HDUQ,Paris 2023 Contenders Sticker Capsule,1698388362
AY***-9SUJ,Paris 2023 Legends Sticker Capsule,1698388362
S9***-8KQJ,Paris 2023 Legends Autograph Capsule,1698388362
SW***-DZRN,Danger Zone Case,1698388361
AD***-THSE,Paris 2023 Contenders Sticker Capsule,1698388360
A9***-4NXL,Paris 2023 Challengers Autograph Capsule,1698388359
SX***-CCAE,Anubis Collection Package,1698388358
ST***-ZZEL,Clutch Case,1698388358
S9***-8KQJ,Paris 2023 Legends Autograph Capsule,1698388358
SQ***-7PUJ,Paris 2023 Contenders Autograph Capsule,1698388358
SU***-YVWC,Revolution Case,1698388358
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388357
SF***-EPHA,Antwerp 2022 Challengers Sticker Capsule,1698388357
S9***-8KQJ,Paris 2023 Legends Autograph Capsule,1698388355
SY***-HWTQ,Paris 2023 Contenders Sticker Capsule,1698388354
SW***-WNWJ,Paris 2023 Legends Sticker Capsule,1698388354
AM***-T4UN,Anubis Collection Package,1698388354
AY***-9SUJ,Paris 2023 Legends Sticker Capsule,1698388353
SX***-CCAE,Anubis Collection Package,1698388353
AX***-7UZC,Antwerp 2022 Contenders Sticker Capsule,1698388353
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388352
SM***-QQZN,Fracture Case,1698388351
SX***-SRNC,Rio 2022 Dust II Souvenir Package,1698388351
S9***-8KQJ,Paris 2023 Legends Autograph Capsule,1698388351
AD***-THSE,Paris 2023 Contenders Sticker Capsule,1698388351
AP***-H6UJ,Paris 2023 Contenders Autograph Capsule,1698388350
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698388350
ST***-96NA,Paris 2023 Mirage Souvenir Package,1698388350
SF***-EPHA,Antwerp 2022 Challengers Sticker Capsule,1698388349
SX***-CCAE,Anubis Collection Package,1698388349
SX***-SRNC,Rio 2022 Dust II Souvenir Package,1698388349
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388348
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388348
S9***-8KQJ,Paris 2023 Legends Autograph Capsule,1698388347
A9***-4NXL,Paris 2023 Challengers Autograph Capsule,1698388347
SJ***-CTSG,10 Year Birthday Sticker Capsule,1698388346
SY***-HWTQ,Paris 2023 Contenders Sticker Capsule,1698388345
SU***-YVWC,Revolution Case,1698388344
SM***-CSQN,Anubis Collection Package,1698388344
SQ***-PTSN,Recoil Case,1698388344
SF***-8TVE,Revolution Case,1698388343
S9***-8KQJ,Paris 2023 Legends Autograph Capsule,1698388343
AP***-H6UJ,Paris 2023 Legends Autograph Capsule,1698388343
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388343
AX***-7UZC,Antwerp 2022 Contenders Sticker Capsule,1698388342
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698388341
SF***-EPHA,Antwerp 2022 Challengers Sticker Capsule,1698388341
SW***-WNWJ,Paris 2023 Contenders Sticker Capsule,1698388341
AD***-THSE,Paris 2023 Contenders Sticker Capsule,1698388341
S9***-8KQJ,Paris 2023 Legends Autograph Capsule,1698388340
SU***-YVWC,Recoil Case,1698388339
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388339
SQ***-7PUJ,Paris 2023 Contenders Autograph Capsule,1698388339
SX***-CCAE,Anubis Collection Package,1698388339
SF***-EPHA,Antwerp 2022 Challengers Sticker Capsule,1698388338
A9***-4NXL,Paris 2023 Challengers Autograph Capsule,1698388337
AH***-GWVL,Revolution Case,1698388336
S9***-8KQJ,Paris 2023 Legends Autograph Capsule,1698388336
SY***-HWTQ,Paris 2023 Contenders Sticker Capsule,1698388336
AP***-H6UJ,Paris 2023 Legends Autograph Capsule,1698388335
ST***-ZZEL,Clutch Case,1698388334
A7***-WPXL,Clutch Case,1698388333
SX***-CCAE,Anubis Collection Package,1698388333
AX***-7UZC,Antwerp 2022 Contenders Sticker Capsule,1698388333
SW***-DZRN,Danger Zone Case,1698388332
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388332
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698388331
SH***-BWFE,Recoil Case,1698388331
SP***-5YVE,Falchion Case,1698388331
AD***-THSE,Paris 2023 Contenders Sticker Capsule,1698388331
SJ***-HDUQ,Paris 2023 Contenders Sticker Capsule,1698388331
SW***-WNWJ,Paris 2023 Contenders Sticker Capsule,1698388330
SQ***-7PUJ,Paris 2023 Contenders Autograph Capsule,1698388330
A9***-4NXL,Paris 2023 Challengers Autograph Capsule,1698388330
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388329
SF***-EPHA,Antwerp 2022 Challengers Sticker Capsule,1698388329
SU***-YVWC,Recoil Case,1698388328
AP***-H6UJ,Paris 2023 Contenders Autograph Capsule,1698388327
AZ***-VQUQ,CS20 Sticker Capsule,1698388327
SY***-HWTQ,Paris 2023 Contenders Sticker Capsule,1698388327
SF***-8TVE,Revolution Case,1698388326
AH***-GWVL,Revolution Case,1698388325
SX***-CCAE,Anubis Collection Package,1698388324
A4***-8DZN,Revolution Case,1698388323
SQ***-7PUJ,Paris 2023 Contenders Autograph Capsule,1698388323
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388321
SF***-EPHA,Antwerp 2022 Challengers Sticker Capsule,1698388321
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388320
AC***-Y9FJ,10 Year Birthday Sticker Capsule,1698388320
SQ***-PTSN,Recoil Case,1698388320
AD***-THSE,Paris 2023 Contenders Sticker Capsule,1698388320
AZ***-VQUQ,CS20 Sticker Capsule,1698388320
AP***-H6UJ,Paris 2023 Contenders Autograph Capsule,1698388320
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698388317
ST***-ZZEL,Clutch Case,1698388317
AF***-75PL,Paris 2023 Contenders Sticker Capsule,1698388317
AZ***-VQUQ,CS20 Sticker Capsule,1698388316
SQ***-7PUJ,Paris 2023 Contenders Autograph Capsule,1698388315
SJ***-HDUQ,Paris 2023 Contenders Sticker Capsule,1698388315
SF***-EPHA,Antwerp 2022 Challengers Sticker Capsule,1698388312
AH***-GWVL,Revolution Case,1698388312
AD***-THSE,Paris 2023 Legends Sticker Capsule,1698388311
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388310
AZ***-VQUQ,CS20 Sticker Capsule,1698388310
AP***-H6UJ,Paris 2023 Legends Autograph Capsule,1698388309
SQ***-7PUJ,Paris 2023 Contenders Autograph Capsule,1698388308
A7***-5UQA,Paris 2023 Contenders Autograph Capsule,1698388308
SZ***-ZDHJ,Paris 2023 Legends Sticker Capsule,1698388307
AZ***-VQUQ,CS20 Sticker Capsule,1698388306
ST***-ZZEL,Clutch Case,1698388306
A2***-VGHC,Revolution Case,1698388305
SP***-5YVE,Falchion Case,1698388305
SX***-2PNA,Snakebite Case,1698388304
AE***-WVCN,Paris 2023 Contenders Sticker Capsule,1698388304
SF***-EPHA,Antwerp 2022 Challengers Sticker Capsule,1698388303
SW***-L6ZC,Recoil Case,1698388302
AZ***-VQUQ,CS20 Sticker Capsule,1698388302
AD***-THSE,Paris 2023 Contenders Sticker Capsule,1698388301
S5***-QDPL,Paris 2023 Challengers Sticker Capsule,1698388300
AP***-H6UJ,Paris 2023 Contenders Autograph Capsule,1698388300
SP***-JZUJ,Paris 2023 Contenders Sticker Capsule,1698388300
